rownames,uid,state,votetrump,age,female,collegeed,racef,famincr,ideo,pid7na,bornagain,religimp,churchatd,prayerfreq,angryracism,whiteadv,fearraces,racerare,lrelig,lcograc,lemprac
1,1,New Hampshire,1,47,1,0,White,,3,5,0,3,1,3,2,3,1,3,-0.19168062892264578,0.4752937495294623,-0.138714742127817
2,2,Louisiana,1,22,1,0,White,6,3,4,,,,,1,4,1,1,,-0.18568175463072376,-0.6194269716205983
3,3,Missouri,,52,1,0,Black,4,5,1,0,4,4,5,,,,,0.5730600938704432,,
4,4,Alabama,,28,1,0,Black,1,4,4,0,3,3,5,,,,,0.0693560313642333,,
5,5,Colorado,0,34,1,1,White,7,2,2,0,1,1,2,2,1,1,1,-1.1301748847213864,-1.204084686093323,-0.138714742127817
6,6,Alabama,,53,1,0,Mixed,1,,2,0,4,5,7,1,1,1,1,1.1710973279945556,-1.204084686093323,-0.6194269716205983
7,7,Texas,1,54,0,0,White,3,5,6,1,4,5,7,2,5,2,2,1.1710973279945556,0.5087615515053516,0.20409480479440348
8,8,Pennsylvania,,25,1,0,White,1,3,4,0,1,2,3,,,,,-0.8264272455475417,,
9,9,Georgia,1,53,0,0,White,4,4,7,1,2,3,6,3,4,1,2,-0.26338738855944444,0.3012782263605131,0.07016563578523916
10,10,Pennsylvania,1,59,1,0,White,7,3,7,0,3,2,4,3,5,1,3,-0.0663052999726259,0.9000377577600748,0.07016563578523916
11,11,Hawaii,0,70,1,1,Asian,10,3,2,0,2,2,3,1,2,3,2,-0.46514077757936584,-0.11881161756623469,0.052227512737282766
12,12,Texas,0,31,1,0,White,5,4,4,1,3,2,7,2,4,2,5,0.134815827468296,1.3298586245636885,0.20409480479440348
13,13,Florida,,40,1,0,Mixed,2,,4,0,3,3,7,1,1,3,1,0.2292131098416408,-1.204084686093323,0.052227512737282766
14,14,Texas,,22,1,0,Hispanic,2,1,1,0,1,1,1,,,,,-1.584899964827102,,
15,15,Kansas,0,34,1,0,Mixed,3,3,4,0,1,1,1,3,2,1,3,-1.584899964827102,0.2410719755829464,0.07016563578523916
16,16,Pennsylvania,0,28,0,0,Other,1,1,1,0,4,1,2,1,1,1,1,0.20438801950823154,-1.204084686093323,-0.6194269716205983
17,17,New Jersey,,37,0,0,White,6,2,2,0,1,1,1,2,2,3,2,-1.584899964827102,-0.11881161756623469,0.4679751586170238
18,18,Texas,,55,0,0,White,3,3,2,1,4,6,5,1,4,1,3,0.8917463245108356,0.656604937986723,-0.6194269716205983
19,19,New York,0,58,1,1,Hispanic,,3,2,0,4,,5,1,1,1,5,0.5853291800044923,0.5086038905860063,-0.6194269716205983
20,20,Florida,1,71,1,0,White,2,2,7,1,4,4,7,2,5,1,2,0.932332878241983,0.5087615515053516,-0.138714742127817
21,21,New York,,26,0,0,Hispanic,10,3,1,0,3,4,5,3,2,4,3,0.12321677994056492,0.2410719755829464,0.9671601641532525
22,22,California,,45,1,0,Hispanic,4,1,2,0,2,2,2,2,2,1,1,-0.5414731491146806,-0.643632269514061,-0.138714742127817
23,23,Massachusetts,0,76,0,0,White,6,3,4,0,3,1,2,2,2,2,3,-0.27367342426787417,0.2410719755829464,0.20409480479440348
24,24,Maine,0,60,1,0,White,7,,2,0,3,1,6,2,2,4,1,-0.022651234718676787,-0.643632269514061,0.7028020303636756
25,25,California,,22,0,0,White,3,3,3,0,1,1,1,,,,,-1.584899964827102,,
26,26,Maryland,1,35,1,1,White,4,4,6,1,3,4,7,2,5,1,4,0.29541223139461764,1.3010795133602184,-0.138714742127817
27,27,Florida,,47,1,1,White,6,3,4,0,3,2,5,2,2,4,2,-0.017325778574398248,-0.11881161756623469,0.7028020303636756
28,28,North Carolina,,53,0,0,White,2,,4,0,2,1,2,1,5,1,1,-0.649736249772667,-0.005524360436810266,-0.6194269716205983
29,29,Michigan,0,56,0,0,White,4,,1,0,3,,7,1,3,3,3,0.22559785331081827,0.4752937495294623,0.052227512737282766
30,30,Texas,1,38,1,1,White,4,5,7,1,4,5,6,1,2,2,2,0.8063118780148516,-0.11881161756623469,-0.21456318441150887
31,31,Oregon,0,57,1,0,White,10,4,7,0,4,5,7,1,2,2,2,1.1710973279945556,-0.11881161756623469,-0.21456318441150887
32,32,Texas,1,49,1,1,White,6,5,7,1,4,6,7,3,3,4,2,1.6966135178966604,0.12553213079247608,0.9671601641532525
33,33,Montana,1,62,1,1,White,8,4,6,1,4,5,7,3,5,1,4,1.1710973279945556,1.3010795133602184,0.07016563578523916
34,34,Arizona,1,71,1,1,White,4,3,3,0,4,1,2,2,3,1,1,0.20438801950823154,-0.36156163354223914,-0.138714742127817
35,35,Pennsylvania,,45,1,0,White,7,3,6,0,3,3,3,1,2,4,2,-0.01175096489321396,-0.11881161756623469,0.27178882756754197
36,36,Michigan,1,28,1,0,White,3,2,4,0,3,3,5,3,3,2,1,0.0693560313642333,-0.36156163354223914,0.41619695773708365
37,37,Texas,,32,1,0,White,3,4,6,0,2,1,5,1,4,1,1,-0.5095139442235108,-0.18568175463072376,-0.6194269716205983
38,38,Washington,0,45,1,1,White,9,3,1,0,4,5,7,1,3,1,1,1.1710973279945556,-0.36156163354223914,-0.6194269716205983
39,39,Virginia,,22,1,0,Hispanic,,3,,0,2,1,1,1,3,5,1,-0.7667762705382174,-0.36156163354223914,0.38274285616613746
40,40,California,0,64,0,1,White,11,3,3,0,1,3,1,2,2,2,1,-1.0864892342627632,-0.643632269514061,0.20409480479440348
41,41,California,0,57,0,1,Native American,8,5,4,1,4,5,7,2,5,1,4,1.1710973279945556,1.3010795133602184,-0.138714742127817
42,42,South Carolina,0,53,1,1,White,6,3,6,0,1,1,1,1,2,4,2,-1.584899964827102,-0.11881161756623469,0.27178882756754197
43,43,Michigan,0,59,1,1,White,4,1,1,0,2,1,2,1,2,2,2,-0.649736249772667,-0.11881161756623469,-0.21456318441150887
44,44,New York,1,57,0,1,White,5,5,5,1,4,2,7,3,5,3,5,0.7460889643831501,1.8412257065152642,0.7003136334555536
45,45,Florida,0,52,0,1,White,,2,1,0,2,2,6,1,1,3,1,-0.3562917371972849,-1.204084686093323,0.052227512737282766
46,46,Arkansas,,25,1,0,Black,1,3,1,1,4,5,4,1,1,5,1,0.6521496199256502,-1.204084686093323,0.38274285616613746
47,47,Connecticut,,51,1,0,White,2,5,4,0,4,2,5,1,5,1,1,0.4187504168179147,-0.005524360436810266,-0.6194269716205983
48,48,Tennessee,,51,0,0,White,3,3,4,0,3,1,6,,,,,-0.022651234718676787,,
49,49,California,0,53,0,1,Hispanic,12,2,1,0,4,5,6,1,2,4,2,0.8063118780148516,-0.11881161756623469,0.27178882756754197
50,50,Massachusetts,,24,0,0,Asian,10,1,1,0,1,1,1,,,,,-1.584899964827102,,
51,51,Nevada,0,74,0,1,White,8,3,3,0,1,1,2,1,2,1,2,-1.1301748847213864,-0.11881161756623469,-0.6194269716205983
52,52,Illinois,,67,0,0,White,7,5,4,0,2,1,2,1,3,1,3,-0.649736249772667,0.4752937495294623,-0.6194269716205983
53,53,Texas,1,77,0,0,White,,5,5,0,2,1,1,4,4,3,5,-0.7667762705382174,1.3298586245636885,0.8370448206710984
